,date,daily_google_spend,daily_microsoft_spend,daily_meta_spend,hotel_id
0,2024-09-18,136513,7484,33554,hotel_2
1,2024-09-19,121423,5580,41405,hotel_2
2,2024-09-20,107031,5964,48341,hotel_2
3,2024-09-21,109008,5028,50098,hotel_2
4,2024-09-22,141350,4804,57303,hotel_2
5,2024-09-23,136652,5892,83731,hotel_2
6,2024-09-24,101753,6528,89286,hotel_2
7,2024-09-25,118891,3636,94254,hotel_2
8,2024-09-26,106169,5900,138779,hotel_2
9,2024-09-27,104084,6444,108115,hotel_2
10,2024-09-28,110116,4364,73165,hotel_2
11,2024-09-29,102996,3880,75505,hotel_2
12,2024-09-30,98272,6436,43769,hotel_2
13,2024-10-01,110950,4532,9008,hotel_2
14,2024-10-02,115620,6572,14979,hotel_2
15,2024-10-03,105163,6744,14955,hotel_2
16,2024-10-04,110390,6032,14255,hotel_2
17,2024-10-05,106728,6292,14808,hotel_2
18,2024-10-06,120829,6408,16229,hotel_2
19,2024-10-07,117100,7496,15431,hotel_2
20,2024-10-08,120919,9356,17734,hotel_2
21,2024-10-09,129916,8940,21180,hotel_2
22,2024-10-10,155691,9776,24254,hotel_2
23,2024-10-11,132846,9876,30110,hotel_2
24,2024-10-12,120424,7864,36031,hotel_2
25,2024-10-13,158141,9144,38829,hotel_2
26,2024-10-14,103767,8068,37419,hotel_2
27,2024-10-15,113104,8732,45614,hotel_2
28,2024-10-16,123896,8156,42844,hotel_2
29,2024-10-17,93658,7936,54892,hotel_2
30,2024-10-18,112557,8520,62348,hotel_2
