,search_log_id,upsell_type,name,unit_price,pieces,sum_price,hotel_id
0,129894,12,MEDI40_EN,37.8,2,75.6,hotel_3
1,130637,12,MEDI40_HU,13600.0,1,13600.0,hotel_3
2,132560,13,SUMCSOB90_DE,55.3,1,55.3,hotel_3
3,132895,2,PROS_HU,10990.0,1,10990.0,hotel_3
4,132895,9,NONABAR_HU,8990.0,1,8990.0,hotel_3
5,134278,1,HCHAMPAGNE_HU,8990.0,1,8990.0,hotel_3
6,134278,8,FRUITCHOC_HU,19990.0,1,19990.0,hotel_3
7,134278,13,SUMCSOB90_HU,19900.0,1,19900.0,hotel_3
8,135503,8,FRUITCHOC_HU,19990.0,1,19990.0,hotel_3
9,135604,2,PROS_HU,10990.0,1,10990.0,hotel_3
10,135627,2,PROS_HU,10990.0,1,10990.0,hotel_3
11,136466,3,KREINBON_HU,61.0,1,122.0,hotel_3
12,136466,11,AM30_DE,31.0,1,31.0,hotel_3
13,138148,13,SUMCSOB90_HU,19900.0,1,19900.0,hotel_3
14,138163,9,NONABAR_HU,8990.0,1,8990.0,hotel_3
15,138163,13,SUMCSOB90_HU,19900.0,1,19900.0,hotel_3
16,138163,14,SUMCSOB80_EN,26500.0,1,26500.0,hotel_3
17,138202,9,NONABAR_HU,8990.0,1,8990.0,hotel_3
18,139552,12,MEDI40_EN,37.8,2,75.6,hotel_3
19,139552,12,MEDI40_EN,37.8,2,75.6,hotel_3
20,139616,13,SUMCSOB90_HU,19900.0,1,19900.0,hotel_3
21,142400,1,HCHAMPAGNE_HU,24.97,1,24.97,hotel_3
22,143449,12,MEDI40_EN,37.8,1,37.8,hotel_3
23,144883,13,SUMCSOB90_HU,19900.0,1,19900.0,hotel_3
24,144996,16,BALA25_DE,30.0,1,30.0,hotel_3
25,146240,18,BALDREAM_EN,102.22,2,204.44,hotel_3
26,148411,17,BALDREAM_DE,171.25,1,171.25,hotel_3
27,150639,12,MEDI40_EN,37.8,2,75.6,hotel_3
28,150795,9,NONABAR_HU,8990.0,1,8990.0,hotel_3
29,150926,12,MEDI40_HU,13600.0,2,27200.0,hotel_3
30,152406,12,MEDI40_HU,13600.0,2,27200.0,hotel_3
31,152609,10,ABAR_HU,21990.0,1,21990.0,hotel_3
32,152710,12,MEDI40_HU,13600.0,2,27200.0,hotel_3
33,154288,8,FRUITCHOC_DE,55.53,1,55.53,hotel_3
34,154288,20,M40_DE,35.0,1,35.0,hotel_3
35,154288,21,IM_DE,40.0,1,40.0,hotel_3
36,154288,29,LM120_EN,87.0,1,87.0,hotel_3
37,155748,28,HAR60_EN,8910.0,1,8910.0,hotel_3
38,156772,9,NONABAR_HU,8990.0,1,8990.0,hotel_3
39,156772,21,IM_HU,15210.0,1,15210.0,hotel_3
40,156810,12,MEDI40_HU,12240.0,2,24480.0,hotel_3
41,156824,24,HUSPRING_HU,23850.0,1,23850.0,hotel_3
42,156840,22,SWEET50_HU,16560.0,1,16560.0,hotel_3
43,156840,28,HAR60_EN,8910.0,2,17820.0,hotel_3
44,156872,17,BALDREAM_HU,55485.0,1,55485.0,hotel_3
45,156980,21,IM_EN,40.0,2,80.0,hotel_3
46,156980,26,DC90_EN,63.0,2,126.0,hotel_3
47,157081,28,HAR60_EN,8910.0,1,8910.0,hotel_3
48,157399,28,HAR60_EN,8910.0,1,8910.0,hotel_3
49,157500,21,IM_HU,15210.0,1,15210.0,hotel_3
50,157418,29,LM120_EN,33210.0,1,33210.0,hotel_3
51,157622,17,BALDREAM_HU,55485.0,1,55485.0,hotel_3
52,157679,28,HAR60_EN,8910.0,1,8910.0,hotel_3
53,157730,12,MEDI40_HU,12240.0,2,24480.0,hotel_3
54,157862,28,HAR60_EN,8910.0,1,8910.0,hotel_3
55,157984,20,SZM40_HU,13230.0,1,13230.0,hotel_3
56,158104,12,MEDI40_HU,12240.0,2,24480.0,hotel_3
57,158825,10,ABAR_HU,21990.0,1,21990.0,hotel_3
58,160125,28,HAR60_EN,8910.0,1,8910.0,hotel_3
59,161678,17,BALDREAM_DE,154.13,1,154.13,hotel_3
60,161678,20,M40_DE,35.0,2,70.0,hotel_3
61,161678,23,EXBAMB50_DE,41.0,2,82.0,hotel_3
62,162633,28,HAR60_EN,8910.0,1,8910.0,hotel_3
